GSRN,Capacity_kw,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000005121,550.0000,104.3445,130.1927,1.2477,0.1517,-0.0182,42.1653,-0.3742,-0.3640,-0.0710,-0.1527,-0.3683
570714700000005138,550.0000,105.0443,128.2850,1.2212,0.1457,-0.0183,41.9740,-0.3718,-0.3712,-0.0803,-0.1565,-0.3702
570714700000005213,600.0000,97.7856,122.2415,1.2501,0.2191,0.0023,42.1902,-0.3966,-0.3943,-0.0702,0.3545,-0.3680
570714700000005251,600.0000,133.3700,148.6423,1.1145,0.1296,-0.0240,47.6453,-0.2752,-0.2935,-0.1176,-0.2974,-0.3118
570714700000005268,600.0000,127.2676,129.2829,1.0158,0.0618,-0.0099,42.7774,-0.2960,-0.3674,-0.1522,0.0513,-0.3619
570714700000005275,600.0000,104.9299,145.2718,1.3845,0.2773,-0.0557,44.8022,-0.3722,-0.3064,-0.0232,-1.0850,-0.3411
570714700000005282,550.0000,99.0820,123.5179,1.2466,0.1800,-0.0024,36.3005,-0.3922,-0.3894,-0.0714,0.2378,-0.4287
570714700000005299,550.0000,102.3062,124.0988,1.2130,0.1565,0.0002,36.6590,-0.3812,-0.3872,-0.0832,0.3030,-0.4250
570714700000005305,550.0000,103.3098,127.1040,1.2303,0.1729,-0.0015,38.0823,-0.3777,-0.3758,-0.0771,0.2623,-0.4103
570714700000005312,600.0000,150.3264,160.1616,1.0654,0.0868,-0.0068,49.7874,-0.2174,-0.2495,-0.1348,0.1306,-0.2897
570714700000005329,600.0000,146.2475,158.4282,1.0833,0.0765,0.0454,51.9822,-0.2313,-0.2561,-0.1286,1.4267,-0.2671
570714700000005336,550.0000,104.2169,128.1053,1.2292,0.1715,0.0046,37.6945,-0.3746,-0.3719,-0.0775,0.4122,-0.4143
570714700000005343,600.0000,125.7257,143.9481,1.1449,0.0767,-0.0039,44.4642,-0.3013,-0.3114,-0.1070,0.2026,-0.3446
570714700000005350,550.0000,80.4271,111.3464,1.3844,0.2171,-0.0024,34.9312,-0.4558,-0.4359,-0.0232,0.2381,-0.4428
570714700000005367,600.0000,112.5417,132.1030,1.1738,0.0797,0.0010,41.6931,-0.3462,-0.3567,-0.0969,0.3235,-0.3731
570714700000005374,600.0000,116.5066,138.5825,1.1895,0.0856,-0.0011,42.6570,-0.3327,-0.3319,-0.0914,0.2703,-0.3632
570714700000005381,550.0000,84.4474,116.0818,1.3746,0.2267,-0.0018,35.7644,-0.4421,-0.4178,-0.0266,0.2546,-0.4342
570714700000005404,750.0000,167.5993,192.4926,1.1485,0.0779,-0.0176,64.6960,-0.1585,-0.1260,-0.1057,-0.1390,-0.1360
570714700000005411,750.0000,140.5606,185.3469,1.3186,0.2104,-0.0750,58.9617,-0.2507,-0.1533,-0.0462,-1.5639,-0.1951
570714700000005428,750.0000,169.2766,182.9344,1.0807,0.0763,-0.0150,68.0571,-0.1527,-0.1625,-0.1295,-0.0753,-0.1014
570714700000005435,600.0000,127.1664,147.2364,1.1578,0.0936,0.0076,46.2679,-0.2964,-0.2989,-0.1025,0.4881,-0.3260
570714700000005442,600.0000,119.0611,139.5849,1.1724,0.1180,0.0073,43.8923,-0.3240,-0.3281,-0.0974,0.4793,-0.3505
570714700000005466,750.0000,120.5120,150.1469,1.2459,0.1103,-0.0099,45.7096,-0.3191,-0.2878,-0.0717,0.0530,-0.3317
570714700000005473,750.0000,127.4964,146.3748,1.1481,0.0657,0.0060,44.6666,-0.2952,-0.3022,-0.1059,0.4469,-0.3425
570714700000005480,750.0000,125.9694,146.8855,1.1660,0.0713,0.0003,46.0623,-0.3004,-0.3002,-0.0996,0.3050,-0.3281
570714700000005497,750.0000,136.6479,158.8552,1.1625,0.0831,0.0024,49.9010,-0.2640,-0.2545,-0.1008,0.3570,-0.2885
570714700000005503,55.0000,5.1622,6.1945,1.2000,0.2881,-0.0007,2.0789,-0.7125,-0.8375,-0.0877,0.2812,-0.7814
570714700000005619,55.0000,6.7999,10.6319,1.5635,0.1497,-0.0012,4.2715,-0.7069,-0.8205,0.0395,0.2698,-0.7588
570714700000005626,75.0000,4.9176,9.2306,1.8770,0.1569,-0.0013,3.6084,-0.7133,-0.8259,0.1492,0.2662,-0.7657
570714700000005817,150.0000,48.6059,52.9814,1.0900,0.1303,-0.0037,16.5273,-0.5643,-0.6588,-0.1262,0.2068,-0.6325
570714700000005886,55.0000,2.5531,6.3561,2.4896,0.6248,-0.0012,2.3953,-0.7214,-0.8369,0.3635,0.2687,-0.7782
570714700000005923,55.0000,5.2803,7.4162,1.4045,0.3049,-0.0014,2.9892,-0.7121,-0.8328,-0.0162,0.2645,-0.7720
570714700000005961,55.0000,6.8717,8.7242,1.2696,0.3148,-0.0004,3.5446,-0.7067,-0.8278,-0.0634,0.2893,-0.7663
570714700000005978,55.0000,11.4237,14.8275,1.2980,0.2148,-0.0000,5.5575,-0.6911,-0.8045,-0.0534,0.2984,-0.7456
570714700000006029,200.0000,18.6645,40.3111,2.1598,0.6224,-0.0180,9.9024,-0.6664,-0.7072,0.2481,-0.1500,-0.7008
570714700000006067,150.0000,40.0037,44.6549,1.1163,0.1088,-0.0037,13.1091,-0.5937,-0.6906,-0.1170,0.2067,-0.6677
570714700000006074,225.0000,60.0056,66.9824,1.1163,0.1053,-0.0055,19.6266,-0.5254,-0.6053,-0.1170,0.1609,-0.6006
570714700000006081,225.0000,51.0991,56.2596,1.1010,0.0923,0.0080,16.9209,-0.5558,-0.6463,-0.1224,0.4960,-0.6284
