GSRN,grid,grid_distance
570714700000013966,733,10966.884735684309
570714700000013973,733,11099.90065177344
570714700000014178,650,6602.361471240565
570714700000014215,818,7128.202963580635
570714700000014222,818,7070.958535446246
570714700000014239,818,7017.450455115467
570714700000014284,735,9049.102952779353
570714700000014291,735,8936.733981158888
570714700000014307,735,8827.288725877272
570714700000014314,777,10203.979873069135
570714700000014321,777,10053.379742653711
570714700000014338,777,9904.51569992193
570714700000105814,818,942.9983832268839
570714700000105821,818,910.1987566154131
570714700000105838,818,916.1281077599799
570714700000105883,775,8261.541076642437
570714700000106682,736,7065.459149977445
570714700000106699,736,6976.896803020667
570714700000106958,736,9140.957116188654
570715000000083464,821,7930.0469733791615
570715000000084607,820,7389.840864321775
570715000000084652,820,7605.483942524631
570715000000088513,817,6042.349529777288
570715000000088643,652,4120.023422263519
570715000000088667,652,4083.998653280875
570715000000088810,775,2259.832294662593
570715000000088827,774,3796.168726492541
570715000000088858,775,2545.8972537971504
570715000000088865,775,2833.5517555807696
570715000000088872,775,3122.355681212504
570715000000089336,774,3796.168726492541
570715000000091681,696,6666.801331973227
570715000000107078,694,7091.101818476449
570715000000125539,820,5156.774379396485
570715000000125546,820,5587.591699471249
570715000000125591,820,5991.315798720679
570715000000125614,820,6423.827208136906
570715000000125621,820,6858.785460998179
570715000000125638,820,8437.311716417737
570715000000125652,820,8775.059259059166
570715000000125669,820,9143.84656476693
570715000000125683,820,8400.733420362772
570715000000125706,820,8731.961119931764
570715000000128905,652,4223.785624294869
570715000000161001,861,3811.9150042990204
570715000000161018,861,4071.864560615935
570715000000161025,861,3565.8202422444124
570715000000161032,861,4342.859081296559
570715000000161049,861,4911.101302152095
570715000000161056,861,4623.126755779037
571313161170169150,653,6955.768038110529
571313161170169709,653,6825.30028643429
571313161170169785,653,7097.048471019484
571313174000602109,818,7309.8296833784025
571313174000602116,818,7146.59954104048
571313174000602123,818,6994.332848814102
571313174000602130,818,7480.735592172738
571313174000602147,818,7661.338003247213
571313174000602154,818,7848.470997589276
571313174000780944,777,5726.516742313777
571313174000780951,777,5924.327134789232
571313174000828837,818,10319.065461561913
571313174000828844,818,10496.536809824467
571313174000832711,691,5898.910492624888
571313174000832742,691,5646.121234971845
571313174000832759,691,5402.342177241275
571313174000839574,819,9421.39023711469
571313174000839604,819,9202.2124513619
571313174000839611,819,8989.12865632704
571313174001641220,692,3868.597291008719
571313174001641237,692,4012.6921137809713
571313174001641244,692,4189.243965204223
571313174001641251,692,4396.25488342066
571313174001641268,692,4629.680334537148
571313174001657931,733,6195.185953625605
571313174001657962,733,5877.387259658836
571313174001657979,733,5589.3428057330675
571313174001764448,650,6911.181230441001
571313174116253585,736,9380.153090435146
