n_clients,k_global,crounds,silhouette
7,7,8,0.2521156044806458
7,7,9,0.25589749136197354
8,2,3,0.3858711418192173
8,2,4,0.38567297138537815
8,2,5,0.38534218670551984
8,2,6,0.3852997220160818
8,2,7,0.3852997220160818
8,2,8,0.3852997220160818
8,2,9,0.3852997220160818
8,3,3,0.28113020613848094
8,3,4,0.2901753800700594
8,3,5,0.29569043918031634
8,3,6,0.2997289557740313
8,3,7,0.30185816581482805
8,3,8,0.30327227512687516
8,3,9,0.3041712951298237
8,4,3,0.28186134705172594
8,4,4,0.286142903410151
8,4,5,0.28795113960423147
8,4,6,0.28974861089490345
8,4,7,0.29082136702842976
8,4,8,0.29082136702842976
8,4,9,0.29082136702842976
8,5,3,0.27906109401315765
8,5,4,0.2894937365584108
8,5,5,0.2920760097090008
8,5,6,0.29194609825506496
8,5,7,0.29215767782725655
8,5,8,0.2915714230267545
8,5,9,0.2906621739303127
8,6,3,0.2679053021951631
8,6,4,0.26976182099881735
8,6,5,0.27597101155998954
8,6,6,0.27822117689549664
8,6,7,0.28324155358043823
8,6,8,0.28613629204201535
8,6,9,0.28685586916826156
8,7,3,0.24276058499846898
8,7,4,0.21177162391327084
8,7,5,0.2384500601775237
8,7,6,0.259974866250491
8,7,7,0.27898294887903163
8,7,8,0.27886866993660064
8,7,9,0.2804929747101343
9,2,3,0.374009160766112
9,2,4,0.3778872175961788
9,2,5,0.37599840845248667
9,2,6,0.3786795959406421
9,2,7,0.38357389928752456
9,2,8,0.3849023937070504
9,2,9,0.3852997220160818
9,3,3,0.3974028800483839
9,3,4,0.3983551057222106
9,3,5,0.39891201824230854
9,3,6,0.39891201824230854
9,3,7,0.39891201824230854
9,3,8,0.39891201824230854
9,3,9,0.24042223157774878
9,4,3,0.28968315048207055
9,4,4,0.27935651675190093
9,4,5,0.2789163239510705
9,4,6,0.28195319083403214
9,4,7,0.2812930164226118
9,4,8,0.2807587694251842
9,4,9,0.28065617286002037
9,5,3,0.30024863945713887
9,5,4,0.3023404032902611
9,5,5,0.30153022466481333
9,5,6,0.30259830768714574
9,5,7,0.301321564984774
9,5,8,0.30037205474267675
9,5,9,0.30037205474267675
9,6,3,0.30260597244900234
9,6,4,0.24928964566093761
9,6,5,0.29132194937264466
9,6,6,0.3015878014141223
9,6,7,0.27975781601598976
9,6,8,0.27583579540580266
9,6,9,0.29794775439569776
9,7,3,0.2970870132642904
9,7,4,0.29481783207338896
9,7,5,0.27741338830957196
9,7,6,0.2971872587969712
9,7,7,0.2992960077557573
9,7,8,0.2679676986483151
9,7,9,0.2588787253390695
10,2,3,0.3762633574491716
10,2,4,0.37806118225649177
10,2,5,0.38357389928752456
10,2,6,0.3849023937070504
10,2,7,0.3852997220160818
10,2,8,0.3852997220160818
10,2,9,0.3852997220160818
10,3,3,0.2997289557740313
10,3,4,0.30056574910776124
10,3,5,0.3016541586573119
10,3,6,0.30289288117341423
10,3,7,0.30289288117341423
10,3,8,0.30289288117341423
10,3,9,0.30289288117341423
10,4,3,0.27230917626726464
10,4,4,0.27205035527237
10,4,5,0.2772925962239663
10,4,6,0.27968868697791477
10,4,7,0.28023490639797344
10,4,8,0.2829643038702285
10,4,9,0.28596808077834796
10,5,3,0.3012866744268296
10,5,4,0.30466582842458956
10,5,5,0.30528180011752337
10,5,6,0.3058181922410217
10,5,7,0.2659322047777591
10,5,8,0.30411534899968684
10,5,9,0.3018134936121495
10,6,3,0.2459587123945763
10,6,4,0.27519791206384897
10,6,5,0.2846050236654026
10,6,6,0.2611363543899321
10,6,7,0.27506283941302845
10,6,8,0.2777800813642615
10,6,9,0.28089877293206994
10,7,3,0.26584668407180573
10,7,4,0.2890838828066218
10,7,5,0.27265602419365753
10,7,6,0.29202680776177437
10,7,7,0.2761187107308833
10,7,8,0.2759324723175987
10,7,9,0.2374719565189017
11,2,3,0.3858711418192173
11,2,4,0.38569924414069157
11,2,5,0.3854563066272435
11,2,6,0.3852997220160818
11,2,7,0.3852997220160818
11,2,8,0.3852997220160818
11,2,9,0.3852997220160818
11,3,3,0.2794779723693611
11,3,4,0.29063138900200897
11,3,5,0.2968995296645615
11,3,6,0.30056574910776124
11,3,7,0.30327227512687516
11,3,8,0.2781730129818524
11,3,9,0.2852576982633858
11,4,3,0.2661565471256709
11,4,4,0.29717388754619395
11,4,5,0.2956527728575702
11,4,6,0.2944738909426927
11,4,7,0.2944738909426927
11,4,8,0.2944738909426927
11,4,9,0.28366641987866503
11,5,3,0.3016415465750901
11,5,4,0.3041095947630315
11,5,5,0.25627577331612045
11,5,6,0.23569116786863034
11,5,7,0.23966800426440613
11,5,8,0.28956915313815224
11,5,9,0.30024110020002837
11,6,3,0.27421653593592693
11,6,4,0.26373249835459206
11,6,5,0.2646834400247006
11,6,6,0.26417985686160156
11,6,7,0.26417985686160156
11,6,8,0.26417985686160156
11,6,9,0.26417985686160156
11,7,3,0.26514020359841145
11,7,4,0.25637782792593816
11,7,5,0.27252274334934207
11,7,6,0.2776464874325339
11,7,7,0.2831301533281695
11,7,8,0.27835009983484954
11,7,9,0.2747752825275681
12,2,3,0.3858711418192173
12,2,4,0.38567297138537815
12,2,5,0.3852997220160818
12,2,6,0.3852997220160818
12,2,7,0.3852997220160818
12,2,8,0.3852997220160818
12,2,9,0.3852997220160818
12,3,3,0.2774097433508944
12,3,4,0.27738412181977834
12,3,5,0.27592112810400693
12,3,6,0.2741577964751685
12,3,7,0.2727324131924497
12,3,8,0.26852964601115836
12,3,9,0.2669166291019568
12,4,3,0.2462617402247285
12,4,4,0.2945199617282499
12,4,5,0.2597206237964265
12,4,6,0.27297548537095945
12,4,7,0.27899530720327004
12,4,8,0.27935601634633545
12,4,9,0.27935601634633545
12,5,3,0.22039727537098583
12,5,4,0.24219592184235433
12,5,5,0.26052926491677675
12,5,6,0.2808779842262285
12,5,7,0.2900922129080927
12,5,8,0.2917189900389213
12,5,9,0.2924417868017771
12,6,3,0.24749330114624518
12,6,4,0.2463266944833369
12,6,5,0.24548487626782195
12,6,6,0.25262111004685006
12,6,7,0.2563114206401643
12,6,8,0.27746934154756564
12,6,9,0.2754421933558249
12,7,3,0.2764484803888065
12,7,4,0.2708849319278904
12,7,5,0.2671501090363402
12,7,6,0.29566350113222484
12,7,7,0.29250260762407393
12,7,8,0.26196000747840453
12,7,9,0.2895957875618741
13,2,3,0.3852997220160818
13,2,4,0.3852997220160818
13,2,5,0.3852997220160818
13,2,6,0.3852997220160818
13,2,7,0.3852997220160818
13,2,8,0.3852997220160818
13,2,9,0.3852997220160818
13,3,3,0.27556505656255137
