n_clients,k_global,crounds,silhouette
7,5,4,0.2479433383189827
7,5,5,0.25352300821939844
7,5,6,0.3183812831244816
7,5,7,0.32170585769744564
7,5,8,0.3557503343406674
7,5,9,0.3673643803822421
7,6,3,0.3148061590249737
7,6,4,0.3263968169866826
7,6,5,0.3351951453128775
7,6,6,0.3328662012996452
7,6,7,0.33575664740722666
7,6,8,0.33165317402429406
7,6,9,0.33116292977183304
7,7,3,0.274958993459761
7,7,4,0.2778412406001568
7,7,5,0.30436214987406657
7,7,6,0.3098666133114467
7,7,7,0.3287365730363727
7,7,8,0.328470999342307
7,7,9,0.3034581562705801
7,8,3,0.26616158941204177
7,8,4,0.2916246916128369
7,8,5,0.2869827446018639
7,8,6,0.29830335057410645
7,8,7,0.2836086980074938
7,8,8,0.309710224668221
7,8,9,0.2810007509698367
7,9,3,0.2936415311475096
7,9,4,0.28933363241269455
7,9,5,0.30783198945951956
7,9,6,0.29776910111366806
7,9,7,0.2717190931099036
7,9,8,0.2940980205054671
7,9,9,0.2924623298604176
8,3,3,0.3598426160727566
8,3,4,0.3604430467592961
8,3,5,0.3594172022189143
8,3,6,0.36535781168191755
8,3,7,0.36535781168191755
8,3,8,0.36535781168191755
8,3,9,0.36535781168191755
8,4,3,0.31001885992922285
8,4,4,0.3061905003512327
8,4,5,0.3051380035969456
8,4,6,0.3087972392157823
8,4,7,0.3087972392157823
8,4,8,0.30706650227459176
8,4,9,0.3087972392157823
8,5,3,0.3207425178791599
8,5,4,0.3216318920035537
8,5,5,0.3179919305469406
8,5,6,0.3234838893630184
8,5,7,0.3234838893630184
8,5,8,0.24261850664984602
8,5,9,0.3208548469415553
8,6,3,0.2939581853742208
8,6,4,0.2940603960014914
8,6,5,0.29347923780007734
8,6,6,0.27459453771547043
8,6,7,0.29065610861086166
8,6,8,0.2933496863725545
8,6,9,0.29251890947896403
8,7,3,0.2636916229533501
8,7,4,0.300630759272009
8,7,5,0.23417165467078604
8,7,6,0.2927563665066917
